,Estimate,Std..Error,t.value,Pr...t..,var
1,0.774424509,0.175246764,4.419051679,2.97E-05,ect1
2,-15942.45679,3618.218314,-4.406162206,3.12E-05,constant
3,-29.03936525,15.73862664,-1.845101604,0.068589265,Temp_max
4,0.266840016,1.476347761,0.180743334,0.857009651,rainfall
5,-0.881105679,0.110060689,-8.005634789,6.34E-12,Beer_Volume.dl1
6,4596.424413,1206.410094,3.810001619,0.000265629,cider_price_off.dl1
7,-99255.43614,42767.47023,-2.320816162,0.022750498,beer_price_CPI.dl1
8,-0.019596753,0.142520311,-0.137501472,0.890967445,Beer_Volume.dl2
9,2107.459456,1239.157367,1.700719789,0.092739696,cider_price_off.dl2
10,268321.931,55104.6102,4.869319101,5.28E-06,beer_price_CPI.dl2
