Date,Prices
01-01-2009,1448.74
01-02-2009,1367.93
01-03-2009,1373.02
01-04-2009,1458.65
01-05-2009,1497.39
01-06-2009,1605.23
01-07-2009,1695.07
01-08-2009,1965.48
01-09-2009,1867.34
01-10-2009,1914.8
01-11-2009,1981.95
01-12-2009,2213.5
01-01-2010,2266.65
01-02-2010,2079.95
01-03-2010,2236.96
01-04-2010,2346.25
01-05-2010,2069.71
01-06-2010,1960.95
01-07-2010,2007
01-08-2010,2121.62
01-09-2010,2193.84
01-10-2010,2378.17
01-11-2010,2359.25
01-12-2010,2367.02
01-01-2011,2455.43
01-02-2011,2531.8
01-03-2011,2585.26
01-04-2011,2685.5
01-05-2011,2595.8
01-06-2011,2583.75
01-07-2011,2542.55
01-08-2011,2426.36
01-09-2011,2332.86
01-10-2011,2201.17
01-11-2011,2093.96
01-12-2011,2032.35
01-01-2012,2175.12
01-02-2012,2245.93
01-03-2012,2225.07
01-04-2012,2087.05
01-05-2012,2041.3
01-06-2012,1924.26
01-07-2012,1907.82
01-08-2012,1872.48
01-09-2012,2067.83
01-10-2012,2002.96
01-11-2012,1955.88
01-12-2012,2096.73
01-01-2013,2073.15
01-02-2013,2089.09
01-03-2013,1959.9
01-04-2013,1886.25
01-05-2013,1861.7
01-06-2013,1831.5
01-07-2013,1812
01-08-2013,1863
01-09-2013,1808
01-10-2013,1859
01-11-2013,1795
01-12-2013,1784
01-01-2014,1771.11
01-02-2014,1737.15
01-03-2014,1747.65
01-04-2014,1847.02
01-05-2014,1790.98
01-06-2014,1868.83
01-07-2014,1967.28
01-08-2014,2038.1
01-09-2014,2023.48
01-10-2014,1956.39
01-11-2014,2041.35
01-12-2014,1929.62
01-01-2015,1822
01-02-2015,1837.4
01-03-2015,1781.41
01-04-2015,1807.98
01-05-2015,1838.39
01-06-2015,1723.66
01-07-2015,1679.35
01-08-2015,1570.15
01-09-2015,1604.91
01-10-2015,1546.91
01-11-2015,1481.45
01-12-2015,1495.74
01-01-2016,1480.1
01-02-2016,1527.93
01-03-2016,1537.17
01-04-2016,1574.74
01-05-2016,1569.32
01-06-2016,1600.91
01-07-2016,1640.98
01-08-2016,1653.39
01-09-2016,1604.14
01-10-2016,1669.33
01-11-2016,1734.02
01-12-2016,1722.55
01-01-2017,1786.38
01-02-2017,1865.85
01-03-2017,1911
01-04-2017,1941.31
01-05-2017,1917.07
01-06-2017,1892.16
01-07-2017,1921.36
01-08-2017,2035.43
01-09-2017,2125.69
01-10-2017,2148.5
01-11-2017,2117.02
01-12-2017,2087.34
01-01-2018,2221.67
01-02-2018,2173.82
01-03-2018,2094.9
01-04-2018,2245.73
01-05-2018,2288.64
01-06-2018,2237.24
01-07-2018,2076.32
01-08-2018,2070.59
01-09-2018,2055.2
01-10-2018,2044.93
01-11-2018,1950.02
01-12-2018,1928.63
01-01-2019,1861.55
01-02-2019,1885.05
01-03-2019,1895.33
01-04-2019,1868.28
01-05-2019,1805.55
01-06-2019,1782.02
01-07-2019,1816.33
01-08-2019,1771.12
01-09-2019,1776.76
01-10-2019,1727.57
01-11-2019,1766.36
01-12-2019,1780.8
