Date,Forecast
01-01-2020,1771.455985
01-02-2020,1759.116352
01-03-2020,1746.226842
01-04-2020,1733.075198
01-05-2020,1719.695269
01-06-2020,1706.091041
01-07-2020,1692.26298
01-08-2020,1678.211143
01-09-2020,1663.935535
01-10-2020,1649.436157
01-11-2020,1634.71301
01-12-2020,1619.766093
01-01-2021,1604.595407
01-02-2021,1589.200952
01-03-2021,1573.582727
01-04-2021,1557.740732
01-05-2021,1541.674968
01-06-2021,1525.385434
01-07-2021,1508.872131
01-08-2021,1492.135059
01-09-2021,1475.174217
01-10-2021,1457.989605
01-11-2021,1440.581224
01-12-2021,1422.949073
